Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,shares
5/27/2020,294.8590393,293.4893153,294.8979049,288.3892924,4.620964824,1.319055703,3.30190912,1,buy,-29485.90393,100
5/28/2020,294.315033,295.9470331,298.0744736,293.6058763,4.971238553,1.335463546,3.635775007,0,hold,,100
5/29/2020,295.6264648,293.8195842,296.2481665,290.9150094,5.293632895,1.326286311,3.967346585,0,hold,,100
6/1/2020,296.8212891,294.9464308,297.4624383,294.4024308,5.581208367,1.291089426,4.290118941,0,hold,,100
6/2/2020,299.2790527,297.7927615,299.3276422,296.3842015,5.938974191,1.3190842,4.619889991,0,hold,,100
6/3/2020,303.2619019,301.3773197,304.2722003,301.0859017,6.46931459,1.479539679,4.989774911,0,hold,,100
6/4/2020,302.4653625,302.2225043,304.0585269,300.2504965,6.74755747,1.406226047,5.341331423,0,hold,,100
6/5/2020,310.2173462,308.1676372,312.0922044,308.0996298,7.507050644,1.732575377,5.774475267,0,hold,,100
6/8/2020,313.9670715,311.0721913,314.1710641,310.4990496,8.315668108,2.032954273,6.282713835,0,hold,,100
6/9/2020,311.625946,311.1499238,314.0448043,310.2367746,8.667678412,1.907971661,6.759706751,0,hold,,100
6/10/2020,309.8871155,312.2379963,313.1802875,309.129399,8.705982867,1.557020893,7.148961974,0,hold,,100
6/11/2020,292.0224304,302.5624833,303.2327744,291.4395944,7.211676919,0.050171956,7.161504963,0,hold,,100
6/12/2020,295.5196228,299.4344966,300.2504967,290.0698979,6.237718353,-0.739029288,6.976747641,-2,sell,29551.96228,0
6/15/2020,298.2784424,289.506405,299.4733155,288.2629721,5.623637068,-1.082488458,6.706125526,0,hold,,0
6/16/2020,304.0196533,306.4676834,306.6231162,298.8807943,5.536420558,-0.935763975,6.472184533,0,hold,,0
6/17/2020,302.7568054,305.0979625,305.4088281,301.9796413,5.304255418,-0.934343291,6.23859871,0,hold,,0
6/18/2020,302.8733826,301.1539568,303.3785171,300.6682403,5.0712119,-0.933909447,6.005121348,0,hold,,0
6/19/2020,301.1424561,306.5381188,306.743009,299.0836972,4.692756751,-1.049891677,5.742648429,0,hold,,0
6/22/2020,303.0742798,300.5081641,303.4938269,299.2982963,4.496873194,-0.996620188,5.493493382,0,hold,,0
6/23/2020,304.4696045,305.8746261,306.8601005,304.0402907,4.403464706,-0.872022941,5.275487646,0,hold,,0
6/24/2020,296.7030029,302.3133232,302.9670606,294.7613538,3.660541524,-1.291956898,4.952498422,0,hold,,0
6/25/2020,299.8837585,296.098008,300.1667221,293.9612058,3.29049912,-1.329599441,4.620098562,0,hold,,0
6/26/2020,292.7611389,298.7227296,298.9471531,292.146468,2.394895111,-1.78016276,4.175057872,0,hold,,0
6/29/2020,297.0639648,294.0880682,297.210315,291.6683023,2.00916418,-1.732714954,3.741879133,0,hold,,0
6/30/2020,300.8692627,296.6054241,302.6645914,296.4395704,1.987613402,-1.403412585,3.391025987,0,hold,,0
7/1/2020,302.9768066,302.049902,304.3135515,301.5620481,2.116201188,-1.019859839,3.136061027,0,hold,,0
7/2/2020,304.6452332,306.6063854,308.0309401,303.9427224,2.325924204,-0.648109458,2.974033662,0,hold,,0
7/6/2020,309.348114,308.6846399,309.9628146,307.8943191,2.838889437,-0.10811538,2.947004817,0,hold,,0
7/7/2020,306.1575623,307.7187005,309.8066995,305.7575185,2.95391631,0.005529194,2.948387116,2,hold,,0
7/8/2020,308.4992676,306.9673993,308.6163477,305.1038237,3.197176918,0.199031842,2.998145076,0,hold,,0
7/9/2020,306.7430115,309.1432442,309.3969378,303.1328808,3.211230448,0.170468297,3.040762151,0,hold,,0
7/10/2020,309.875061,306.6747404,310.1580247,305.1624051,3.435495936,0.315787028,3.119708908,0,hold,,0
7/13/2020,307.191864,312.353367,314.8706802,306.4991198,3.358007358,0.19063876,3.167368598,0,hold,,0
7/14/2020,311.1727295,305.6892269,311.9923204,304.4208187,3.576590961,0.327377891,3.24921307,0,hold,,0
7/15/2020,314.0315552,314.5779492,315.1926498,311.5142124,3.935141521,0.54874276,3.386398761,0,hold,,0
7/16/2020,312.9972839,312.0215762,313.4753712,311.3385689,4.088706316,0.561846044,3.526860272,0,hold,,0
7/17/2020,313.9047241,314.0608409,314.7340817,311.9728119,4.234814061,0.566363031,3.668451029,0,hold,,0
